advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
Universidad Internacional de La Rioja,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
University Of British Columbia,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,6,12.00
University Of British Columbia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,20,3.25
University Of British Columbia,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.11,21,5.01
University Of Cambridge,21839579524 » am-android-foryou-large-ib-high,14.29%,0.09,7,12.52
University Of Cambridge,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,13,3.45
University Of Cambridge,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.16
University Of Florida,21839579524 » am-android-foryou-large-ib-high,0.78%,1.62,129,12.57
University Of Florida,21839579524 » am-android-foryou-large-ib-low,0.25%,58.31,"19,412",3.00
University Of Florida,21839579524 » am-android-foryou-large-ib-medium,0.48%,1.04,207,5.02
University Of Georgia,21839579524 » am-android-foryou-large-ib-high,0.00%,0.38,32,12.01
University Of Georgia,21839579524 » am-android-foryou-large-ib-low,0.27%,2.38,743,3.20
University Of Georgia,21839579524 » am-android-foryou-large-ib-medium,0.72%,0.79,138,5.72
University Of Louisville,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
University Of Louisville,21839579524 » am-android-foryou-large-ib-low,10.00%,0.03,10,3.13
University Of Mary Washington - Duplicate - 1437449,21839579524 » am-android-foryou-large-ib-high,0.00%,0.09,7,12.85
University Of Mary Washington - Duplicate - 1437449,21839579524 » am-android-foryou-large-ib-low,0.00%,0.14,47,3.01
University Of Mary Washington - Duplicate - 1437449,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.13,26,5.01
University Of Nebraska Foundation,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
University Of Pittsburgh,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
University Of Pittsburgh,21839579524 » am-android-foryou-large-ib-low,0.00%,0.15,49,3.02
University Of Pittsburgh,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,17,5.01
University Of Southern California,21839579524 » am-android-foryou-large-ib-high,2.44%,0.98,82,12.01
University Of Southern California,21839579524 » am-android-foryou-large-ib-low,0.22%,3.82,912,4.19
University Of Southern California,21839579524 » am-android-foryou-large-ib-medium,0.21%,18.09,"2,827",6.40
University Of Texas System,21839579524 » am-android-foryou-large-ib-high,0.00%,1.41,115,12.26
University Of Texas System,21839579524 » am-android-foryou-large-ib-low,1.08%,0.56,185,3.02
University Of Texas System,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.24,246,5.04
University of California,21839579524 » am-android-foryou-large-ib-high,1.62%,6.77,557,12.15
University of California,21839579524 » am-android-foryou-large-ib-low,0.63%,2.90,956,3.03
University of California,21839579524 » am-android-foryou-large-ib-medium,0.88%,4.00,796,5.02
University of Denver University College,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
University of Denver University College,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.01
University of Denver University College,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
University of Iowa,21839579524 » am-android-foryou-large-ib-high,0.00%,0.28,23,12.01
University of Iowa,21839579524 » am-android-foryou-large-ib-low,0.00%,0.25,84,3.01
University of Iowa,21839579524 » am-android-foryou-large-ib-medium,2.56%,0.39,78,5.01
University of Kansas,21839579524 » am-android-foryou-large-ib-high,0.00%,0.24,20,12.01
University of Kansas,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,12,5.01
University of London,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
University of Massachusetts,21839579524 » am-android-foryou-large-ib-high,0.00%,0.47,39,12.01
University of Massachusetts,21839579524 » am-android-foryou-large-ib-low,0.00%,0.33,106,3.11
University of Massachusetts,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.41,81,5.10
University of Miami,21839579524 » am-android-foryou-large-ib-high,0.00%,0.46,38,12.01
University of Miami,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,16,3.01
University of Miami,21839579524 » am-android-foryou-large-ib-medium,2.86%,0.18,35,5.01
University of Michigan,21839579524 » am-android-foryou-large-ib-high,0.26%,5.21,384,13.56
University of Michigan,21839579524 » am-android-foryou-large-ib-low,0.00%,0.99,274,3.60
University of Michigan,21839579524 » am-android-foryou-large-ib-medium,0.65%,4.08,619,6.58
University of Minnesota,21839579524 » am-android-foryou-large-ib-high,1.31%,3.70,305,12.13
University of Minnesota,21839579524 » am-android-foryou-large-ib-low,0.75%,0.80,265,3.01
University of Minnesota,21839579524 » am-android-foryou-large-ib-medium,0.24%,2.12,423,5.01
University of New England,21839579524 » am-android-foryou-large-ib-high,5.26%,0.69,57,12.07
University of New England,21839579524 » am-android-foryou-large-ib-low,0.00%,0.20,65,3.01
University of New England,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.27,52,5.12
University of North Carolina,21839579524 » am-android-foryou-large-ib-high,0.00%,0.06,5,12.48
University of North Carolina,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,14,3.05
University of North Carolina,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,8,5.01
University of Pennsylvania,21839579524 » am-android-foryou-large-ib-high,0.00%,0.10,7,14.42
University of Pennsylvania,21839579524 » am-android-foryou-large-ib-low,0.00%,1.09,287,3.79
University of Pennsylvania,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.82,300,6.07
University of Rhode Island,21839579524 » am-android-foryou-large-ib-high,0.00%,1.15,94,12.20
University of Rhode Island,21839579524 » am-android-foryou-large-ib-low,0.00%,0.53,173,3.04
University of Rhode Island,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.70,140,5.01
University of San Francisco,21839579524 » am-android-foryou-large-ib-high,0.00%,1.92,160,12.02
University of San Francisco,21839579524 » am-android-foryou-large-ib-low,0.00%,0.28,89,3.17
University of San Francisco,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.95,186,5.12
University of South Carolina System,21839579524 » am-android-foryou-large-ib-high,0.00%,0.19,16,12.01
University of South Carolina System,21839579524 » am-android-foryou-large-ib-low,0.56%,0.53,177,3.01
University of South Carolina System,21839579524 » am-android-foryou-large-ib-medium,1.94%,0.52,103,5.03
University of Washington,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.03
University of Washington,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
University of Wisconsin System,21839579524 » am-android-foryou-large-ib-high,0.54%,6.85,560,12.23
University of Wisconsin System,21839579524 » am-android-foryou-large-ib-low,0.16%,4.15,"1,280",3.24
University of Wisconsin System,21839579524 » am-android-foryou-large-ib-medium,0.72%,5.94,"1,105",5.37
Universo Online,21839579524 » am-android-foryou-large-ib-high,1.65%,127.30,"10,021",12.70
Universo Online,21839579524 » am-android-foryou-large-ib-low,0.58%,32.57,"10,372",3.14
Universo Online,21839579524 » am-android-foryou-large-ib-medium,0.80%,73.87,"14,100",5.24
Univision Communications,21839579524 » am-android-foryou-large-ib-high,0.87%,381.63,"31,393",12.16
Univision Communications,21839579524 » am-android-foryou-large-ib-low,0.33%,455.99,"147,136",3.10
Univision Communications,21839579524 » am-android-foryou-large-ib-medium,0.45%,503.79,"98,370",5.12
Upjers,21839579524 » am-android-foryou-large-ib-high,0.00%,0.37,29,12.91
Upjers,21839579524 » am-android-foryou-large-ib-low,0.00%,0.19,63,3.01
Upjers,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.30,59,5.13
Upopa,21839579524 » am-android-foryou-large-ib-high,0.00%,0.06,5,12.01
Upopa,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
Upopa,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.01
Urban Outfitters,21839579524 » am-android-foryou-large-ib-high,3.20%,21.28,"1,374",15.49
Urban Outfitters,21839579524 » am-android-foryou-large-ib-low,1.33%,7.08,"2,110",3.36
Urban Outfitters,21839579524 » am-android-foryou-large-ib-medium,1.69%,12.09,"2,071",5.84
Useful Websites Ltd,21839579524 » am-android-foryou-large-ib-high,2.88%,1.25,104,12.01
Useful Websites Ltd,21839579524 » am-android-foryou-large-ib-low,2.22%,0.14,45,3.07
Useful Websites Ltd,21839579524 » am-android-foryou-large-ib-medium,2.50%,0.40,80,5.05
Userjoy Technology,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.00
Userjoy Technology,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
Utsav Fashion,21839579524 » am-android-foryou-large-ib-high,7.10%,2.10,155,13.56
Utsav Fashion,21839579524 » am-android-foryou-large-ib-low,4.79%,0.60,188,3.18
Utsav Fashion,21839579524 » am-android-foryou-large-ib-medium,2.03%,1.08,197,5.48
Uvi Tech,21839579524 » am-android-foryou-large-ib-high,2.44%,0.51,41,12.35
Uvi Tech,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,42,3.01
Uvi Tech,21839579524 » am-android-foryou-large-ib-medium,2.22%,0.23,45,5.09
V Shred,21839579524 » am-android-foryou-large-ib-high,0.42%,2.85,237,12.01
V Shred,21839579524 » am-android-foryou-large-ib-low,1.03%,2.07,678,3.05
V Shred,21839579524 » am-android-foryou-large-ib-medium,1.53%,3.00,587,5.10
V5 Retail Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
VA Mortgage Center,21839579524 » am-android-foryou-large-ib-high,0.57%,"6,013.03","487,589",12.33
VA Mortgage Center,21839579524 » am-android-foryou-large-ib-low,0.25%,536.59,"174,453",3.08
VA Mortgage Center,21839579524 » am-android-foryou-large-ib-medium,0.30%,"1,448.71","284,748",5.09
VF Corporation,21839579524 » am-android-foryou-large-ib-high,2.95%,117.91,"8,518",13.84
VF Corporation,21839579524 » am-android-foryou-large-ib-low,1.53%,68.03,"21,191",3.21
VF Corporation,21839579524 » am-android-foryou-large-ib-medium,2.01%,102.06,"18,472",5.52
VIZ Media,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.02
VKR Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,21,3.01
VKR Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.00
VMedia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
VMedia,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
VMware,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
VMware,21839579524 » am-android-foryou-large-ib-low,0.00%,0.46,154,3.01
VMware,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.19,37,5.08
VNG,21839579524 » am-android-foryou-large-ib-high,0.70%,122.78,"10,035",12.24
VNG,21839579524 » am-android-foryou-large-ib-low,0.24%,111.07,"36,552",3.04
VNG,21839579524 » am-android-foryou-large-ib-medium,0.31%,106.66,"21,019",5.07
Vacanceselect,21839579524 » am-android-foryou-large-ib-high,0.00%,0.11,6,18.90
Vacanceselect,21839579524 » am-android-foryou-large-ib-low,5.26%,0.06,19,3.28
Vacanceselect,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,8,5.06
Vail Resorts,21839579524 » am-android-foryou-large-ib-high,0.00%,0.10,8,12.01
Vail Resorts,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
Vail Resorts,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,12,5.01
Value Eyecare Network,21839579524 » am-android-foryou-large-ib-high,0.92%,4.04,325,12.42
Value Eyecare Network,21839579524 » am-android-foryou-large-ib-low,1.60%,0.57,187,3.04
Value Eyecare Network,21839579524 » am-android-foryou-large-ib-medium,0.90%,1.12,222,5.03
ValueAd Marketing,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.91
Valuedrive Technologies,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.00
Valuedrive Technologies,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
Valve Corporation,21839579524 » am-android-foryou-large-ib-high,0.00%,0.26,22,12.01
Valve Corporation,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,17,3.01
Valve Corporation,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,12,5.01
Valyoo Technologies,21839579524 » am-android-foryou-large-ib-high,1.42%,18.77,"1,552",12.09
Valyoo Technologies,21839579524 » am-android-foryou-large-ib-low,0.38%,4.80,"1,586",3.03
Valyoo Technologies,21839579524 » am-android-foryou-large-ib-medium,0.78%,7.76,"1,530",5.07
Van Dyke's,21839579524 » am-android-foryou-large-ib-high,3.70%,0.41,27,15.10
Van Dyke's,21839579524 » am-android-foryou-large-ib-low,2.61%,0.50,153,3.27
Van Dyke's,21839579524 » am-android-foryou-large-ib-medium,6.25%,0.56,96,5.87
Vancouver Film School,21839579524 » am-android-foryou-large-ib-high,14.29%,0.08,7,12.00
Vancouver Film School,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,11,3.47
Vancouver Film School,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.07,13,5.55
Vanderbilt University,21839579524 » am-android-foryou-large-ib-high,0.62%,9.76,804,12.14
Vanderbilt University,21839579524 » am-android-foryou-large-ib-low,0.64%,0.48,157,3.05
Vanderbilt University,21839579524 » am-android-foryou-large-ib-medium,0.74%,2.06,408,5.06
Varo Money,21839579524 » am-android-foryou-large-ib-high,0.83%,410.48,"32,769",12.53
Varo Money,21839579524 » am-android-foryou-large-ib-low,0.28%,115.71,"37,608",3.08
Varo Money,21839579524 » am-android-foryou-large-ib-medium,0.33%,205.38,"40,014",5.13
Varonis Systems,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Vary Republica,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Vaya Life,21839579524 » am-android-foryou-large-ib-high,1.30%,0.92,77,12.01
Vaya Life,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,35,3.06
Vaya Life,21839579524 » am-android-foryou-large-ib-medium,1.19%,0.42,84,5.03
Vedia,21839579524 » am-android-foryou-large-ib-high,0.00%,0.29,24,12.03
Vedia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.18,58,3.16
Vedia,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.19,35,5.48
Veneficus,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.01
Veneficus,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
Vera Bradley Designs,21839579524 » am-android-foryou-large-ib-high,2.07%,29.36,"2,217",13.24
Vera Bradley Designs,21839579524 » am-android-foryou-large-ib-low,1.34%,22.59,"7,032",3.21
Vera Bradley Designs,21839579524 » am-android-foryou-large-ib-medium,1.35%,29.26,"5,324",5.50
Verdane Capital Advisors IX,21839579524 » am-android-foryou-large-ib-high,0.00%,0.14,12,12.01
Verdane Capital Advisors IX,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.50
Verdane Capital Advisors IX,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,11,5.00
Verisure,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Verisure,21839579524 » am-android-foryou-large-ib-low,0.00%,0.18,61,3.01
Verisure,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.12,23,5.02
Verizon Communications,21839579524 » am-android-foryou-large-ib-high,4.95%,953.31,"78,373",12.16
Verizon Communications,21839579524 » am-android-foryou-large-ib-low,1.82%,"1,298.50","427,818",3.04
Verizon Communications,21839579524 » am-android-foryou-large-ib-medium,2.81%,"1,313.04","259,486",5.06
Verlagsgruppe Weltbild,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Vermont Country Store,21839579524 » am-android-foryou-large-ib-high,2.03%,2.37,197,12.04
Vermont Country Store,21839579524 » am-android-foryou-large-ib-low,0.46%,0.66,217,3.05
Vermont Country Store,21839579524 » am-android-foryou-large-ib-medium,0.77%,1.33,260,5.11
Vermont Teddy Bear,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Vermont Teddy Bear,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
Veronica Beard,21839579524 » am-android-foryou-large-ib-high,0.00%,0.29,24,12.01
Veronica Beard,21839579524 » am-android-foryou-large-ib-low,0.00%,0.14,46,3.01
Veronica Beard,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.20,40,5.01
Vertbaudet ,21839579524 » am-android-foryou-large-ib-high,4.17%,0.39,24,16.08
Vertbaudet ,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,35,3.24
Vertbaudet ,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.11,19,5.68
Vertical Brands,21839579524 » am-android-foryou-large-ib-high,8.54%,67.28,"3,922",17.15
Vertical Brands,21839579524 » am-android-foryou-large-ib-low,5.14%,28.34,"7,942",3.57
Vertical Brands,21839579524 » am-android-foryou-large-ib-medium,5.77%,43.75,"6,686",6.54
Verybest Law Office,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
Vestiaire des Copines,21839579524 » am-android-foryou-large-ib-high,0.94%,100.21,"8,057",12.44
Vestiaire des Copines,21839579524 » am-android-foryou-large-ib-low,0.81%,9.26,"2,964",3.12
Vestiaire des Copines,21839579524 » am-android-foryou-large-ib-medium,0.86%,23.63,"4,560",5.18
Viacom,21839579524 » am-android-foryou-large-ib-high,0.79%,"4,426.21","205,675",21.52
Viacom,21839579524 » am-android-foryou-large-ib-low,0.30%,"1,443.92","408,467",3.53
Viacom,21839579524 » am-android-foryou-large-ib-medium,0.60%,746.19,"101,938",7.32
Viajanet,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Vice Sporting Goods,21839579524 » am-android-foryou-large-ib-high,0.72%,20.08,"1,665",12.06
Vice Sporting Goods,21839579524 » am-android-foryou-large-ib-low,0.42%,9.42,"3,118",3.02
Vice Sporting Goods,21839579524 » am-android-foryou-large-ib-medium,0.64%,13.37,"2,658",5.03
Victoria University,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,6,12.01
Victoria University,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,18,3.25
Victoria University,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.07,14,5.01
Victorian Plumbing,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,13.54
Victorinox,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
VidaXL,21839579524 » am-android-foryou-large-ib-high,0.47%,3.13,213,14.71
VidaXL,21839579524 » am-android-foryou-large-ib-low,0.85%,1.18,354,3.33
VidaXL,21839579524 » am-android-foryou-large-ib-medium,1.29%,1.74,309,5.64
Video-Shoper.ru,21839579524 » am-android-foryou-large-ib-high,8.33%,0.33,24,13.73
Video-Shoper.ru,21839579524 » am-android-foryou-large-ib-low,4.29%,0.23,70,3.31
Video-Shoper.ru,21839579524 » am-android-foryou-large-ib-medium,14.71%,0.22,34,6.46
Village Hat Shop,21839579524 » am-android-foryou-large-ib-high,4.27%,11.97,984,12.16
Village Hat Shop,21839579524 » am-android-foryou-large-ib-low,2.36%,5.41,"1,776",3.05
Village Hat Shop,21839579524 » am-android-foryou-large-ib-medium,1.97%,9.31,"1,823",5.11
Villanova University,21839579524 » am-android-foryou-large-ib-high,0.40%,3.01,251,12.01
Villanova University,21839579524 » am-android-foryou-large-ib-low,0.00%,0.10,28,3.57
Villanova University,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.28,54,5.11
Villeroy & Boch,21839579524 » am-android-foryou-large-ib-high,0.00%,0.42,35,12.01
Villeroy & Boch,21839579524 » am-android-foryou-large-ib-low,0.00%,0.12,38,3.05
Villeroy & Boch,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.21,41,5.14
Vincero Watches,21839579524 » am-android-foryou-large-ib-high,4.44%,0.61,45,13.49
Vincero Watches,21839579524 » am-android-foryou-large-ib-low,1.74%,0.74,230,3.22
Vincero Watches,21839579524 » am-android-foryou-large-ib-medium,2.19%,0.75,137,5.47
Vinted,21839579524 » am-android-foryou-large-ib-high,0.00%,0.28,23,12.06
Vinted,21839579524 » am-android-foryou-large-ib-low,0.00%,0.31,100,3.11
Vinted,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.38,75,5.06
Vinyl Interactive,21839579524 » am-android-foryou-large-ib-high,0.00%,0.85,71,12.01
Vinyl Interactive,21839579524 » am-android-foryou-large-ib-low,0.00%,0.19,63,3.02
Vinyl Interactive,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.40,80,5.02
Viola Group,21839579524 » am-android-foryou-large-ib-high,0.00%,1.64,97,16.90
Viola Group,21839579524 » am-android-foryou-large-ib-low,0.96%,0.82,208,3.95
Viola Group,21839579524 » am-android-foryou-large-ib-medium,0.64%,1.15,157,7.31
Viovet,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Viovet,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,4,5.01
Virginia Polytechnic Institute & State University,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Vision Service Plan,21839579524 » am-android-foryou-large-ib-high,1.65%,13.93,"1,154",12.07
Vision Service Plan,21839579524 » am-android-foryou-large-ib-low,0.30%,3.02,998,3.03
Vision Service Plan,21839579524 » am-android-foryou-large-ib-medium,0.68%,6.74,"1,327",5.08
Visit Cheyenne,21839579524 » am-android-foryou-large-ib-high,0.00%,0.57,47,12.20
Visit Cheyenne,21839579524 » am-android-foryou-large-ib-low,0.58%,1.58,519,3.05
Visit Cheyenne,21839579524 » am-android-foryou-large-ib-medium,1.09%,0.93,183,5.08
Visit Florida,21839579524 » am-android-foryou-large-ib-high,4.00%,0.49,25,19.76
Visit Florida,21839579524 » am-android-foryou-large-ib-low,1.36%,1.17,294,3.97
Visit Florida,21839579524 » am-android-foryou-large-ib-medium,5.71%,0.99,140,7.09
Vista Equity Partners,21839579524 » am-android-foryou-large-ib-high,0.72%,10.11,835,12.11
Vista Equity Partners,21839579524 » am-android-foryou-large-ib-low,0.68%,2.21,734,3.01
Vista Equity Partners,21839579524 » am-android-foryou-large-ib-medium,0.10%,5.06,"1,003",5.04
Vita-mix,21839579524 » am-android-foryou-large-ib-high,3.70%,0.34,27,12.58
Vita-mix,21839579524 » am-android-foryou-large-ib-low,0.00%,0.09,29,3.01
Vita-mix,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.16,31,5.02
Vital Choice,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.01
Vital Farms,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
VivaAerobus,21839579524 » am-android-foryou-large-ib-high,0.00%,0.23,19,12.00
VivaAerobus,21839579524 » am-android-foryou-large-ib-low,2.78%,0.22,72,3.00
VivaAerobus,21839579524 » am-android-foryou-large-ib-medium,2.00%,0.25,50,5.06
Vivendi,21839579524 » am-android-foryou-large-ib-high,0.67%,16.98,"1,349",12.59
Vivendi,21839579524 » am-android-foryou-large-ib-low,0.14%,2.25,736,3.05
Vivendi,21839579524 » am-android-foryou-large-ib-medium,0.47%,5.47,"1,068",5.12
Vivid Seats,21839579524 » am-android-foryou-large-ib-high,4.09%,134.87,"7,915",17.04
Vivid Seats,21839579524 » am-android-foryou-large-ib-low,2.21%,61.21,"18,770",3.26
Vivid Seats,21839579524 » am-android-foryou-large-ib-medium,2.78%,93.31,"15,562",6.00
Vodafone,21839579524 » am-android-foryou-large-ib-high,0.00%,0.29,19,15.35
Vodafone,21839579524 » am-android-foryou-large-ib-low,3.85%,0.17,52,3.29
Vodafone,21839579524 » am-android-foryou-large-ib-medium,5.77%,0.29,52,5.57
Volkswagen Dealers,21839579524 » am-android-foryou-large-ib-high,3.36%,3.05,238,12.83
Volkswagen Dealers,21839579524 » am-android-foryou-large-ib-low,1.15%,5.52,"1,744",3.17
Volkswagen Dealers,21839579524 » am-android-foryou-large-ib-medium,1.47%,5.09,952,5.35
Volkswagen Group,21839579524 » am-android-foryou-large-ib-high,1.35%,12.55,"1,036",12.12
Volkswagen Group,21839579524 » am-android-foryou-large-ib-low,0.25%,9.82,"3,235",3.04
Volkswagen Group,21839579524 » am-android-foryou-large-ib-medium,0.69%,11.80,"2,315",5.10
Volusion,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,7,3.37
Volusion,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,7.81
Volvo Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
VuClip,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
W. Atlee Burpee & Co,21839579524 » am-android-foryou-large-ib-high,3.25%,7.06,584,12.09
W. Atlee Burpee & Co,21839579524 » am-android-foryou-large-ib-low,1.69%,5.63,"1,833",3.07
W. Atlee Burpee & Co,21839579524 » am-android-foryou-large-ib-medium,1.61%,7.36,"1,431",5.15
W. L. Gore & Associates,21839579524 » am-android-foryou-large-ib-high,1.44%,5.55,418,13.27
W. L. Gore & Associates,21839579524 » am-android-foryou-large-ib-low,0.85%,2.94,945,3.12
W. L. Gore & Associates,21839579524 » am-android-foryou-large-ib-medium,1.18%,4.98,932,5.34
W. W. Grainger,21839579524 » am-android-foryou-large-ib-high,0.00%,0.81,56,14.48
W. W. Grainger,21839579524 » am-android-foryou-large-ib-low,0.00%,0.77,215,3.58
W. W. Grainger,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.54,66,8.13
W.C. Bradley,21839579524 » am-android-foryou-large-ib-high,1.80%,2.77,222,12.48
W.C. Bradley,21839579524 » am-android-foryou-large-ib-low,2.25%,0.84,267,3.13
W.C. Bradley,21839579524 » am-android-foryou-large-ib-medium,3.16%,1.63,316,5.15
WIBROS,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
WIBROS,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.01
WKDA Holding GmbH,21839579524 » am-android-foryou-large-ib-high,0.00%,0.14,12,12.00
WKDA Holding GmbH,21839579524 » am-android-foryou-large-ib-low,0.00%,0.20,65,3.00
WKDA Holding GmbH,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.18,36,5.00
"WORDANS PORTUGAL, UNIPESSOAL, LDA",21839579524 » am-android-foryou-large-ib-high,3.10%,3.88,290,13.39
"WORDANS PORTUGAL, UNIPESSOAL, LDA",21839579524 » am-android-foryou-large-ib-low,0.97%,1.68,515,3.27
"WORDANS PORTUGAL, UNIPESSOAL, LDA",21839579524 » am-android-foryou-large-ib-medium,4.07%,2.26,393,5.74
WP Lavori in Corso,21839579524 » am-android-foryou-large-ib-high,5.00%,0.26,20,13.24
WP Lavori in Corso,21839579524 » am-android-foryou-large-ib-low,3.92%,0.16,51,3.10
WP Lavori in Corso,21839579524 » am-android-foryou-large-ib-medium,2.04%,0.25,49,5.13
WPEngine,21839579524 » am-android-foryou-large-ib-low,0.12%,6.22,"1,736",3.58
WPEngine,21839579524 » am-android-foryou-large-ib-medium,0.00%,2.93,519,5.64
WS Audiology,21839579524 » am-android-foryou-large-ib-high,1.85%,76.88,"6,258",12.29
WS Audiology,21839579524 » am-android-foryou-large-ib-low,0.44%,120.36,"39,787",3.03
WS Audiology,21839579524 » am-android-foryou-large-ib-medium,0.72%,91.44,"18,085",5.06
WSI International,21839579524 » am-android-foryou-large-ib-high,0.00%,0.22,18,12.46
WSI International,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.01
WSI International,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.20,39,5.01
WSPA,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
WTM Publishing & Communications,21839579524 » am-android-foryou-large-ib-high,1.52%,5.65,462,12.22
